City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
78,Muros,ES,42.7762,-9.0603,65.68,86,100,18.59,overcast clouds
79,Qaanaaq,GL,77.484,-69.3632,15.46,86,88,7.52,overcast clouds
80,Carnarvon,AU,-24.8667,113.6333,65.64,63,0,23.94,clear sky
81,Pionerskiy,RU,54.9508,20.2275,53.44,88,99,11.61,overcast clouds
82,Victoria,HK,22.2855,114.1577,75.38,72,6,15.99,clear sky
83,Torbay,CA,47.6666,-52.7314,59.4,74,75,14.0,broken clouds
84,Los Llanos De Aridane,ES,28.6585,-17.9182,71.35,76,20,3.44,few clouds
85,Verkhneyarkeyevo,RU,55.4505,54.3145,37.08,96,100,20.4,light rain
86,Faya,SA,18.3851,42.4509,66.31,69,14,3.85,few clouds
87,Bambous Virieux,MU,-20.3428,57.7575,73.65,73,75,9.22,broken clouds
88,Vitkov,CZ,49.7744,17.7494,62.02,82,96,9.75,overcast clouds
89,Pangody,RU,65.85,74.4859,25.11,96,40,7.85,scattered clouds
90,Coquimbo,CL,-29.9533,-71.3436,58.73,77,75,9.22,broken clouds
91,Garissa,KE,-0.4536,39.6401,85.19,52,39,14.29,scattered clouds
92,Havelock,US,34.8791,-76.9013,66.18,86,100,9.22,overcast clouds
93,Araouane,ML,18.9048,-3.5265,90.84,10,49,9.64,scattered clouds
94,Wamba,NG,8.9333,8.6,81.68,67,57,3.44,broken clouds
95,Bathsheba,BB,13.2167,-59.5167,90.21,70,20,10.36,few clouds
96,Sladkovo,RU,55.5284,70.3385,30.9,79,23,16.51,few clouds
97,Krasnokholm,RU,51.5979,54.1567,43.48,61,100,9.62,overcast clouds
98,Adrar,MR,20.5022,-10.0711,94.12,12,8,11.27,clear sky
99,Mar Del Plata,AR,-38.0023,-57.5575,68.02,86,0,20.0,clear sky
100,Stornoway,GB,58.2093,-6.3865,55.36,90,40,13.8,scattered clouds
101,Bubaque,GW,11.2833,-15.8333,81.5,72,100,7.78,overcast clouds
102,Pinega,RU,64.7001,43.3936,33.37,82,69,8.9,broken clouds
103,Paracuru,BR,-3.41,-39.0306,81.1,58,29,15.79,scattered clouds
104,Nalut,LY,30.3333,10.85,74.95,23,0,7.76,clear sky
105,Santa Maria,BR,-29.6842,-53.8069,76.08,43,1,8.68,clear sky
106,Alenquer,BR,-1.9417,-54.7383,97.48,38,85,2.91,overcast clouds
107,Kpandae,GH,8.4689,-0.0113,87.08,52,63,2.93,broken clouds
108,Port Elizabeth,ZA,-33.918,25.5701,72.1,86,20,13.8,few clouds
109,Clyde River,CA,70.4692,-68.5914,19.63,63,100,5.75,overcast clouds
110,Ornskoldsvik,SE,63.2909,18.7153,34.75,86,100,1.14,light intensity drizzle
111,Lagoa,PT,39.05,-27.9833,62.56,61,98,13.76,overcast clouds
112,Kudahuvadhoo,MV,2.6708,72.8944,82.11,80,13,10.87,few clouds
113,Ostrovnoy,RU,68.0531,39.5131,35.04,79,70,9.44,light snow
114,Coihaique,CL,-45.5752,-72.0662,57.81,66,75,4.61,broken clouds
115,Maine-Soroa,NE,13.2114,12.0241,89.06,19,100,12.33,overcast clouds
116,La Rioja,ES,42.25,-2.5,60.58,45,100,4.12,overcast clouds
117,Eydhafushi,MV,5.1033,73.0708,81.41,80,100,14.27,overcast clouds
118,Marzuq,YE,14.4,46.4667,71.89,69,35,6.2,scattered clouds
119,Iskateley,RU,67.6803,53.1512,23.14,91,27,6.42,scattered clouds
120,Port-Gentil,GA,-0.7193,8.7815,77.36,87,100,13.09,overcast clouds
121,Glinishchevo,RU,53.3042,34.0652,46.53,87,74,6.71,broken clouds
