City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
338,Dholka,IN,77.38,clear sky,22.7167,72.4667,jalalpur godhaneshwer
339,Evans,US,75.51,clear sky,33.5337,-82.1307,Evans hide out
345,Treinta Y Tres,UY,71.44,broken clouds,-33.2333,-54.3833,Jardines Apart-Hotel
353,Ilebo,CD,78.51,overcast clouds,-4.3167,20.5833,Hôtel BUMAK
354,Bud,US,74.01,broken clouds,39.447,-86.1758,Ted McQuinn Trust
360,Richards Bay,ZA,72.09,light rain,-28.783,32.0377,BON Hotel Waterfront Richards Bay
362,Morondava,MG,79.05,clear sky,-20.2833,44.2833,La Case Bambou
363,Phaltan,IN,70.05,clear sky,17.9833,74.4333,Hotel New Vijay
364,Rawson,AR,72.48,broken clouds,-43.3002,-65.1023,Hosteria Sampedro
367,Taunsa,PK,77.4,few clouds,30.7048,70.6505,Nan shop
369,Cornwall,CA,70.84,clear sky,45.0181,-74.7281,Ramada by Wyndham Cornwall
370,Miraflores,MX,75.97,overcast clouds,19.2167,-98.8083,Hotel Mansión
371,Praia,CV,79.84,clear sky,14.9215,-23.5087,LT Aparthotel
376,Sheopur,IN,70.36,clear sky,25.6667,76.7,Shri Ram Dharmshala
380,Bengkulu,ID,75.34,moderate rain,-3.8004,102.2655,Grage Hotel Bengkulu
391,Zambezi,ZM,74.88,light rain,-13.5432,23.1047,Royal Kutachika Lodge
392,Puerto Madryn,AR,73.6,scattered clouds,-42.7692,-65.0385,Hotel Tolosa
396,Cadiz,ES,78.22,overcast clouds,36.5,-5.75,Hacienda Barriche
399,Cap Malheureux,MU,73.47,clear sky,-19.9842,57.6142,Pereybere Hotel & Spa
402,Valverde Del Camino,ES,71.02,overcast clouds,37.5751,-6.7543,HOTEL MONTEAROMA (ulamde hotelera S.L.)
403,Koungou,YT,78.51,few clouds,-12.7336,45.2042,Villa Netibor
408,Xai-Xai,MZ,76.78,overcast clouds,-25.0519,33.6442,Complexo da Familia
417,Bandarbeyla,SO,78.67,clear sky,9.4942,50.8122,JABIR HOTEL
418,Nea Peramos,GR,73.81,clear sky,38.0076,23.423,ENOIKIAZOMENA DOMATIA NEA PERAMOS ΑΤΤΙΚΙΣ EDEM
